seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
4.68,-0.02,-0.26,-9.13,0.03,-0.00,0.19
4.73,-0.08,-0.39,-9.12,0.02,0.00,0.05
4.79,-0.02,-0.29,-9.14,-0.00,-0.00,-0.01
4.85,-0.05,-0.30,-9.15,0.02,-0.01,-0.05
4.90,-0.06,-0.36,-9.13,0.02,-0.01,-0.13
4.96,-0.07,-0.28,-9.14,0.02,-0.00,-0.03
5.01,-0.06,-0.28,-9.15,0.03,0.01,-0.03
5.07,-0.06,-0.34,-9.13,0.05,0.02,-0.01
5.12,-0.06,-0.34,-9.15,0.01,0.01,-0.01
5.18,-0.08,-0.38,-9.17,0.01,0.00,-0.07
5.24,-0.06,-0.31,-9.12,0.03,0.01,-0.01
5.29,-0.04,-0.35,-9.13,0.05,0.01,-0.01
5.35,-0.05,-0.38,-9.12,0.02,0.01,-0.01
5.40,-0.03,-0.34,-9.13,0.01,0.01,-0.01
5.46,-0.03,-0.34,-9.14,0.01,0.01,-0.01
5.51,-0.05,-0.35,-9.12,0.04,0.01,-0.00
5.57,-0.03,-0.38,-9.11,0.02,0.01,-0.01
5.63,-0.04,-0.35,-9.12,0.00,0.00,-0.01
5.68,-0.04,-0.35,-9.13,0.01,0.01,-0.01
5.74,-0.03,-0.35,-9.16,0.02,0.01,-0.01
5.79,-0.00,-0.36,-9.15,0.03,0.01,-0.01
5.85,-0.01,-0.38,-9.11,-0.01,0.00,-0.01
5.90,-0.04,-0.34,-9.15,0.00,0.00,-0.01
5.96,-0.03,-0.31,-9.13,0.01,0.01,-0.02
6.01,-0.03,-0.33,-9.13,0.03,0.01,-0.01
6.07,-0.03,-0.35,-9.15,0.01,0.01,-0.01
6.13,-0.01,-0.33,-9.13,0.02,0.01,-0.02
6.18,-0.03,-0.35,-9.15,0.01,0.01,-0.01
6.24,-0.03,-0.34,-9.13,0.03,0.01,-0.01
6.29,-0.04,-0.38,-9.13,0.01,0.01,-0.01
6.35,-0.00,-0.35,-9.14,0.02,0.01,-0.01
6.40,-0.03,-0.35,-9.12,0.01,0.00,-0.01
6.46,-0.01,-0.34,-9.12,0.02,0.01,-0.01
6.52,-0.02,-0.37,-9.14,0.02,0.00,-0.01
6.57,-0.02,-0.36,-9.14,0.02,0.00,-0.01
6.63,-0.00,-0.34,-9.13,0.01,0.01,-0.01
6.68,0.00,-0.35,-9.14,0.01,0.00,-0.01
6.74,-0.00,-0.36,-9.14,0.02,0.01,-0.00
6.79,-0.02,-0.33,-9.14,0.03,0.01,-0.00
6.85,-0.00,-0.37,-9.11,0.01,0.00,-0.00
6.91,-0.01,-0.35,-9.15,0.02,0.01,-0.01
6.96,0.00,-0.37,-9.14,0.02,0.00,-0.01
7.02,-0.01,-0.37,-9.13,0.02,0.00,-0.01
7.07,-0.02,-0.35,-9.15,0.01,0.00,-0.00
7.13,-0.02,-0.37,-9.15,0.02,0.01,-0.01
7.18,-0.00,-0.34,-9.14,0.02,0.01,-0.01
7.24,-0.02,-0.38,-9.15,0.01,0.00,-0.01
7.30,-0.00,-0.38,-9.14,0.03,0.01,-0.00
7.35,-0.02,-0.38,-9.15,0.02,0.00,-0.00
7.41,-0.04,-0.38,-9.18,0.02,0.00,-0.00
7.46,-0.01,-0.40,-9.16,0.02,0.00,-0.01
7.52,-0.01,-0.39,-9.14,0.02,0.00,-0.01
7.57,-0.01,-0.39,-9.13,0.02,0.01,-0.01
7.63,-0.01,-0.40,-9.13,0.01,0.00,-0.01
7.69,0.01,-0.38,-9.13,0.02,0.01,-0.01
7.74,0.02,-0.39,-9.14,0.01,0.00,-0.00
7.80,-0.04,-0.37,-9.14,0.02,0.00,-0.00
7.85,-0.02,-0.39,-9.14,0.03,0.01,-0.00
7.91,-0.02,-0.38,-9.13,0.01,0.00,-0.01
7.96,-0.03,-0.39,-9.17,0.02,0.00,-0.01
8.02,-0.00,-0.40,-9.12,0.01,0.00,-0.01
8.07,-0.02,-0.36,-9.12,0.01,0.00,-0.00
8.13,-0.01,-0.38,-9.13,0.01,0.00,-0.01
8.19,-0.01,-0.40,-9.14,0.00,0.00,-0.01
8.24,-0.02,-0.38,-9.13,0.02,0.00,-0.01
8.30,-0.02,-0.37,-9.12,0.02,0.00,-0.01
8.35,0.00,-0.38,-9.14,0.03,0.00,-0.01
8.41,-0.01,-0.41,-9.14,0.02,0.00,-0.00
8.46,-0.02,-0.37,-9.13,0.00,0.00,-0.01
8.52,-0.00,-0.38,-9.13,0.02,0.00,-0.01
8.57,-0.01,-0.40,-9.14,0.01,0.00,-0.01
8.63,-0.02,-0.37,-9.15,0.01,0.00,-0.00
8.69,-0.03,-0.37,-9.16,0.01,0.00,-0.00
8.74,-0.03,-0.38,-9.15,0.02,0.01,-0.01
8.80,-0.02,-0.37,-9.15,0.03,0.01,-0.01
8.85,-0.02,-0.38,-9.12,0.01,0.01,-0.01
8.91,-0.03,-0.39,-9.14,0.01,0.01,-0.01
8.97,-0.03,-0.39,-9.14,0.01,0.01,-0.01
9.02,-0.00,-0.40,-9.12,0.01,0.00,-0.01
9.08,-0.04,-0.38,-9.13,0.02,0.01,-0.01
9.13,-0.00,-0.38,-9.14,0.01,0.00,-0.00
9.19,-0.00,-0.37,-9.13,0.02,0.00,-0.01
9.24,-0.03,-0.38,-9.16,0.02,0.01,-0.01
9.30,-0.02,-0.37,-9.16,0.01,0.01,-0.01
9.35,-0.01,-0.38,-9.15,0.02,0.00,-0.01
9.41,-0.01,-0.37,-9.13,0.03,0.00,-0.01
9.47,-0.02,-0.38,-9.14,0.02,0.00,-0.01
9.52,-0.03,-0.40,-9.10,0.02,0.01,-0.01
9.58,-0.02,-0.40,-9.09,0.02,0.00,-0.01
9.63,-0.02,-0.40,-9.14,0.02,0.01,-0.01
9.69,-0.03,-0.39,-9.17,0.01,0.01,-0.01
9.74,-0.00,-0.38,-9.11,0.00,0.00,-0.01
9.80,-0.00,-0.37,-9.15,0.03,0.01,-0.01
9.86,-0.01,-0.39,-9.14,0.02,0.01,-0.01
9.91,-0.01,-0.38,-9.13,0.02,0.00,-0.01
9.97,-0.02,-0.38,-9.14,0.03,0.01,-0.01
10.02,-0.03,-0.42,-9.13,0.03,0.01,-0.01
10.08,-0.02,-0.42,-9.16,0.02,0.00,-0.01
10.14,-0.02,-0.43,-9.15,0.01,0.00,-0.01
10.19,-0.02,-0.39,-9.16,0.00,0.01,-0.01
10.25,-0.01,-0.41,-9.13,0.02,0.01,-0.00
10.30,0.01,-0.38,-9.13,0.01,0.00,-0.01
10.36,-0.02,-0.38,-9.14,0.02,0.01,-0.01
10.41,-0.02,-0.42,-9.13,0.02,0.00,-0.01
10.47,-0.02,-0.40,-9.16,0.02,0.01,-0.01
10.52,0.01,-0.42,-9.12,0.02,0.00,-0.01
10.58,0.01,-0.41,-9.12,0.02,0.00,-0.01
10.64,-0.02,-0.40,-9.15,0.01,0.00,-0.01
10.69,-0.01,-0.37,-9.13,0.02,0.01,-0.00
10.75,-0.02,-0.40,-9.09,0.02,0.01,-0.01
10.80,0.01,-0.39,-9.13,0.02,0.01,-0.01
10.86,-0.00,-0.40,-9.14,0.01,0.01,-0.01
