seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
7.91,-0.20,0.01,-9.14,0.02,0.00,0.02
7.96,-0.14,-0.12,-9.15,0.02,0.01,0.00
8.02,-0.18,0.11,-9.15,0.02,0.00,-0.00
8.07,-0.10,0.18,-9.14,0.03,0.00,0.01
8.13,-0.08,-0.01,-9.15,0.02,-0.00,0.01
8.19,-0.31,-0.11,-9.15,0.02,0.00,-0.07
8.24,-0.30,0.35,-9.14,0.02,0.01,-0.04
8.30,-0.22,0.14,-9.17,0.02,0.02,-0.03
8.35,-0.21,-0.03,-9.13,0.02,0.01,-0.03
8.41,-0.20,-0.26,-9.19,0.02,0.02,-0.01
8.46,-0.26,-0.28,-9.14,0.02,0.02,0.00
8.52,0.00,0.11,-9.15,0.02,0.02,-0.03
8.58,-0.11,-0.31,-9.10,0.02,0.02,-0.04
8.63,-0.06,-0.04,-9.14,0.02,0.03,-0.09
8.69,-0.20,0.19,-9.15,0.01,0.04,-0.17
8.74,-0.09,-0.41,-9.14,0.01,0.02,-0.02
8.80,-0.13,0.42,-9.10,-0.01,-0.08,-0.00
8.85,-0.17,0.42,-9.16,-0.02,-0.08,0.00
8.91,-0.25,0.49,-9.14,0.01,-0.04,-0.00
8.97,-0.28,0.32,-9.15,0.02,-0.01,-0.05
9.02,-0.19,-0.15,-9.16,0.02,0.02,-0.01
9.08,0.04,-0.32,-9.14,0.03,-0.03,0.00
9.13,-0.16,-0.45,-9.08,0.03,-0.03,0.03
9.19,-0.15,-0.05,-9.13,0.03,-0.08,0.11
9.24,-0.13,0.25,-9.09,0.04,-0.06,0.08
9.30,-0.44,0.44,-9.13,0.03,-0.06,0.06
9.35,-0.50,0.36,-9.14,0.03,-0.05,0.02
9.41,-0.55,0.26,-9.15,0.02,0.00,-0.02
9.47,-0.55,0.20,-9.11,0.03,0.03,-0.07
9.52,-0.53,0.11,-9.16,0.02,0.06,-0.03
9.58,-0.51,-0.43,-9.14,0.02,0.05,0.08
9.63,-0.07,0.09,-9.14,0.02,0.02,0.09
9.69,-0.09,-0.19,-9.13,0.04,-0.02,0.03
9.74,-0.11,0.11,-9.14,0.01,-0.09,0.03
9.80,-0.44,-0.27,-9.14,0.00,-0.09,-0.01
9.86,-0.48,-0.11,-9.12,-0.00,-0.03,0.00
9.91,-0.54,-0.26,-9.09,-0.00,0.03,-0.04
9.97,-0.56,-0.07,-9.12,-0.01,0.15,0.12
10.02,-0.35,-0.21,-9.16,0.02,0.08,0.09
10.08,-0.09,0.02,-9.16,0.03,0.02,0.06
10.14,-0.27,-0.13,-9.16,0.02,0.02,-0.02
10.19,-0.21,0.04,-9.17,0.02,0.03,0.03
10.25,-0.25,-0.28,-9.14,0.03,0.03,-0.04
10.30,-0.38,-0.01,-9.11,0.02,-0.01,0.06
10.36,-0.47,0.00,-9.17,0.03,0.02,0.05
10.41,-0.13,0.43,-9.14,0.04,0.00,0.08
10.47,-0.27,0.31,-9.13,0.01,0.01,0.07
10.52,-0.28,0.48,-9.18,0.02,0.02,0.02
10.58,-0.16,0.21,-9.17,0.02,-0.01,0.03
10.64,-0.39,-0.11,-9.12,0.02,0.00,-0.06
10.69,-0.19,0.48,-9.15,0.03,-0.01,-0.02
10.75,-0.22,0.53,-9.14,0.02,-0.01,-0.09
10.80,-0.23,0.16,-9.16,0.02,0.00,-0.07
